g = [('a', 8), ('b', 6), ('a', -8), ('b', 4), ('a', 7), ('b', -2), ('a', 8)] n=100, fixed words = 70779550860673920256738696973375145533392231908
g = [('b', 5), ('a', -3), ('b', -8), ('a', -3), ('b', -5), ('a', 4), ('b', 6)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', 5), ('a', -10), ('b', 4), ('a', -4), ('b', -6), ('a', -9), ('b', 3)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('a', 6), ('b', 6), ('a', -1), ('b', -4), ('a', -9), ('b', 4), ('a', 9)] n=100, fixed words = 76240442918624033564564065723962940551038280783
g = [('b', -9), ('a', 3), ('b', 3), ('a', -5), ('b', -8), ('a', 3), ('b', -5)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -9), ('a', -3), ('b', -9), ('a', -7), ('b', 5), ('a', -2), ('b', -3)] n=100, fixed words = 75189708598561433785298705390161458668500797747
g = [('a', -6), ('b', -6), ('a', 5), ('b', 5), ('a', -1), ('b', -7), ('a', -10)] n=100, fixed words = 70779550860673920256738696973375145533392231908
g = [('b', 2), ('a', 6), ('b', -7), ('a', 9), ('b', -8), ('a', -1), ('b', 10)] n=100, fixed words = 76240442918624033564564065723962940551038280783
g = [('a', -4), ('b', -9), ('a', -5), ('b', 1), ('a', -2), ('b', 7), ('a', -4)] n=100, fixed words = 71774462711922758298891956587648897685031552180
g = [('a', 3), ('b', 3), ('a', -2), ('b', -2), ('a', -6), ('b', 6), ('a', 2)] n=100, fixed words = 75189708598561433785298705390161458668500797747
g = [('a', -3), ('b', 6), ('a', -3), ('b', -10), ('a', 8), ('b', -2), ('a', 9)] n=100, fixed words = 75189708598561433785298705390161458668500797747
g = [('a', -5), ('b', 4), ('a', -4), ('b', 1), ('a', -10), ('b', -4), ('a', 2)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', 6), ('a', 2), ('b', -3), ('a', -6), ('b', -9), ('a', 7), ('b', -3)] n=100, fixed words = 257942376787656595137087776396034802772281748346
g = [('a', 10), ('b', -7), ('a', 6), ('b', -4), ('a', -2), ('b', 4), ('a', -8)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('b', -8), ('a', -5), ('b', 5), ('a', -9), ('b', 3), ('a', 7), ('b', 4)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -4), ('b', 10), ('a', -3), ('b', 7), ('a', -2), ('b', -6), ('a', -5)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -9), ('b', 8), ('a', -4), ('b', 10), ('a', 9), ('b', 4), ('a', 1)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('a', -2), ('b', -9), ('a', 6), ('b', -1), ('a', 8), ('b', -6), ('a', -10)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -8), ('a', -3), ('b', 10), ('a', 8), ('b', 1), ('a', -3), ('b', -8)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', 7), ('b', 3), ('a', 3), ('b', 8), ('a', -3), ('b', -9), ('a', -1)] n=100, fixed words = 76835093801424586562885633964523590089726834586
g = [('b', 3), ('a', -3), ('b', 5), ('a', 6), ('b', 3), ('a', 9), ('b', 8)] n=100, fixed words = 76835093801424586562885633964523590089726834586
g = [('b', 4), ('a', 6), ('b', -2), ('a', 3), ('b', -7), ('a', 7), ('b', 10)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -1), ('b', 4), ('a', 2), ('b', -9), ('a', 5), ('b', 9), ('a', -9)] n=100, fixed words = 75649526272923369506939299808154614415720293430
g = [('b', 3), ('a', -10), ('b', 6), ('a', -6), ('b', 5), ('a', 1), ('b', -7)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('b', -4), ('a', 4), ('b', -4), ('a', -7), ('b', 9), ('a', 2), ('b', -5)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', 7), ('b', 10), ('a', -10), ('b', -8), ('a', -5), ('b', 10), ('a', 2)] n=100, fixed words = 166078777148215747804411422321157889735100124629
g = [('b', -4), ('a', 5), ('b', -8), ('a', 2), ('b', -7), ('a', -10), ('b', 1)] n=100, fixed words = 217521841803962166231198860038309166220103052523
